"((100, 760), 4.71238898038469)",3
"((100, 760), 3.141592653589793)",1
"((99, 760), 3.141592653589793)",1
"((98, 760), 3.141592653589793)",1
"((97, 760), 3.141592653589793)",1
"((96, 760), 3.141592653589793)",2
"((96, 760), 5.497787143782138)",1
"((97, 759), 5.497787143782138)",1
"((98, 758), 5.497787143782138)",1
"((99, 757), 5.497787143782138)",1
"((100, 756), 5.497787143782138)",1
"((101, 755), 5.497787143782138)",1
"((102, 754), 5.497787143782138)",1
"((103, 753), 5.497787143782138)",1
"((104, 752), 5.497787143782138)",1
"((105, 751), 5.497787143782138)",1
"((106, 750), 5.497787143782138)",1
"((107, 749), 5.497787143782138)",1
"((108, 748), 5.497787143782138)",1
"((109, 747), 5.497787143782138)",1
"((110, 746), 5.497787143782138)",1
"((111, 745), 5.497787143782138)",1
"((112, 744), 5.497787143782138)",1
"((113, 743), 5.497787143782138)",1
"((114, 742), 5.497787143782138)",1
"((115, 741), 5.497787143782138)",1
"((116, 740), 5.497787143782138)",1
"((117, 739), 5.497787143782138)",1
"((118, 738), 5.497787143782138)",1
"((119, 737), 5.497787143782138)",1
"((120, 736), 5.497787143782138)",1
"((121, 735), 5.497787143782138)",1
"((122, 734), 5.497787143782138)",1
"((123, 733), 5.497787143782138)",1
"((124, 732), 5.497787143782138)",1
"((125, 731), 5.497787143782138)",1
"((126, 730), 5.497787143782138)",1
"((127, 729), 5.497787143782138)",1
"((128, 728), 5.497787143782138)",1
"((129, 727), 5.497787143782138)",1
"((130, 726), 5.497787143782138)",1
"((131, 725), 5.497787143782138)",1
"((132, 724), 5.497787143782138)",1
"((133, 723), 5.497787143782138)",1
"((134, 722), 5.497787143782138)",1
"((135, 721), 5.497787143782138)",1
"((136, 720), 5.497787143782138)",1
"((137, 719), 5.497787143782138)",1
"((138, 718), 5.497787143782138)",1
"((139, 717), 5.497787143782138)",1
"((140, 716), 5.497787143782138)",1
"((141, 715), 5.497787143782138)",1
"((142, 714), 5.497787143782138)",1
"((143, 713), 5.497787143782138)",1
"((144, 712), 5.497787143782138)",1
"((145, 711), 5.497787143782138)",1
"((146, 710), 5.497787143782138)",1
"((147, 709), 5.497787143782138)",1
"((148, 708), 5.497787143782138)",1
"((149, 707), 5.497787143782138)",1
"((150, 706), 5.497787143782138)",1
"((151, 705), 5.497787143782138)",1
"((152, 704), 5.497787143782138)",1
"((153, 703), 5.497787143782138)",1
"((154, 702), 5.497787143782138)",1
"((155, 701), 5.497787143782138)",1
"((156, 700), 5.497787143782138)",1
"((157, 699), 5.497787143782138)",1
"((158, 698), 5.497787143782138)",1
"((159, 697), 5.497787143782138)",1
"((160, 696), 5.497787143782138)",1
"((161, 695), 5.497787143782138)",1
"((162, 694), 5.497787143782138)",1
"((163, 693), 5.497787143782138)",1
"((164, 692), 5.497787143782138)",1
"((165, 691), 5.497787143782138)",1
"((166, 690), 5.497787143782138)",1
"((167, 689), 5.497787143782138)",1
"((168, 688), 5.497787143782138)",1
"((169, 687), 5.497787143782138)",1
"((170, 686), 5.497787143782138)",1
"((171, 685), 5.497787143782138)",1
"((172, 684), 5.497787143782138)",1
"((173, 683), 5.497787143782138)",1
"((174, 682), 5.497787143782138)",1
"((175, 681), 5.497787143782138)",1
"((176, 680), 5.497787143782138)",1
"((177, 679), 5.497787143782138)",1
"((178, 678), 5.497787143782138)",1
"((179, 677), 5.497787143782138)",1
"((180, 676), 5.497787143782138)",1
"((181, 675), 5.497787143782138)",1
"((182, 674), 5.497787143782138)",1
"((183, 673), 5.497787143782138)",1
"((184, 672), 5.497787143782138)",1
"((185, 671), 5.497787143782138)",1
"((186, 670), 5.497787143782138)",1
"((187, 669), 5.497787143782138)",1
"((188, 668), 5.497787143782138)",1
"((189, 667), 5.497787143782138)",1
"((190, 666), 5.497787143782138)",1
"((191, 665), 5.497787143782138)",1
"((192, 664), 5.497787143782138)",1
"((193, 663), 5.497787143782138)",1
"((194, 662), 5.497787143782138)",1
"((195, 661), 5.497787143782138)",1
"((196, 660), 5.497787143782138)",1
"((197, 659), 5.497787143782138)",1
"((198, 658), 5.497787143782138)",1
"((199, 657), 5.497787143782138)",1
"((200, 656), 5.497787143782138)",1
"((201, 655), 5.497787143782138)",1
"((202, 654), 5.497787143782138)",1
"((203, 653), 5.497787143782138)",1
"((204, 652), 5.497787143782138)",1
"((205, 651), 5.497787143782138)",1
"((206, 650), 5.497787143782138)",1
"((207, 649), 5.497787143782138)",1
"((208, 648), 5.497787143782138)",3
"((208, 648), 4.71238898038469)",1
"((208, 647), 4.71238898038469)",1
"((208, 646), 4.71238898038469)",1
"((208, 645), 4.71238898038469)",1
"((208, 644), 4.71238898038469)",1
"((208, 643), 4.71238898038469)",1
"((208, 642), 4.71238898038469)",1
"((208, 641), 4.71238898038469)",1
"((208, 640), 4.71238898038469)",1
"((208, 639), 4.71238898038469)",1
"((208, 638), 4.71238898038469)",1
"((208, 637), 4.71238898038469)",1
"((208, 636), 4.71238898038469)",1
"((208, 635), 4.71238898038469)",1
"((208, 634), 4.71238898038469)",1
"((208, 633), 4.71238898038469)",1
"((208, 632), 4.71238898038469)",1
